/usr/sbin/mysqld, Version: 8.0.32 (MySQL Community Server - GPL). started with:
Tcp port: 3306  Unix socket: /var/run/mysqld/mysqld.sock
Time                 Id Command    Argument
2023-04-07T13:10:08.752911Z	    0 Execute	CREATE TABLE performance_schema.innodb_redo_log_files(
`FILE_ID` BIGINT NOT NULL COMMENT 'Id of the file.',
`FILE_NAME` VARCHAR(2000) NOT NULL COMMENT 'Path to the file.',
`START_LSN` BIGINT NOT NULL COMMENT 'LSN of the first block in the file.',
`END_LSN` BIGINT NOT NULL COMMENT 'LSN after the last block in the file.',
`SIZE_IN_BYTES` BIGINT NOT NULL COMMENT 'Size of the file (in bytes).',
`IS_FULL` TINYINT NOT NULL COMMENT '1 iff file has no free space inside.',
`CONSUMER_LEVEL` INT NOT NULL COMMENT 'All redo log consumers registered on smaller levels than this value, have already consumed this file.'
)engine = 'performance_schema'
2023-04-07T13:13:49.202902Z	    8 Query	CREATE TABLE IF NOT EXISTS `user` ( `id` bigint NOT NULL AUTO_INCREMENT, `createdby` varchar(255) COLLATE utf8_bin DEFAULT NULL, `createddate` datetime DEFAULT NULL, `modifiedby` varchar(255) COLLATE utf8_bin DEFAULT NULL, `modifieddate` datetime DEFAULT NULL, `address` text COLLATE utf8_bin, `fullname` varchar(255) COLLATE utf8_bin DEFAULT NULL, `image` text COLLATE utf8_bin, `password` varchar(255) COLLATE utf8_bin DEFAULT NULL, `phonenumber` varchar(255) COLLATE utf8_bin DEFAULT NULL, `username` varchar(255) COLLATE utf8_bin DEFAULT NULL, `refresh_token_id` bigint NOT NULL, `role_id` bigint DEFAULT NULL, PRIMARY KEY (`id`), KEY `FKo3wsa4hvodpbgd6upolukg7nj` (`refresh_token_id`), KEY `FKn82ha3ccdebhokx3a8fgdqeyy` (`role_id`), CONSTRAINT `FKn82ha3ccdebhokx3a8fgdqeyy` FOREIGN KEY (`role_id`) REFERENCES `role` (`id`), CONSTRAINT `FKo3wsa4hvodpbgd6upolukg7nj` FOREIGN KEY (`refresh_token_id`) REFERENCES `refreshtoken` (`id`) ) ENGINE=InnoDB DEFAULT CHARSET=utf8mb3 COLLATE=utf8_bin
2023-04-07T13:13:49.205146Z	   11 Connect	root@172.20.0.3 on production_move using SSL/TLS
2023-04-07T13:13:49.205760Z	    8 Query	SELECT @@session.transaction_read_only
2023-04-07T13:13:49.205806Z	   11 Query	/* mysql-connector-java-8.0.30 (Revision: 1de2fe873fe26189564c030a343885011412976a) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@collation_server AS collation_server, @@collation_connection AS collation_connection, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_write_timeout AS net_write_timeout, @@performance_schema AS performance_schema, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@transaction_isolation AS transaction_isolation, @@wait_timeout AS wait_timeout
2023-04-07T13:13:49.206335Z	    8 Query	INSERT INTO role (id, code, name) SELECT * FROM (SELECT '1' as id, 'ADMIN' as code, 'ADMIN' as name) AS tmp WHERE NOT EXISTS (SELECT code FROM role WHERE code = 'ADMIN') LIMIT 1
2023-04-07T13:13:49.206461Z	   11 Query	SET character_set_results = NULL
2023-04-07T13:13:49.206761Z	   11 Query	SET autocommit=1
2023-04-07T13:13:49.207217Z	   11 Query	SELECT @@session.transaction_read_only
2023-04-07T13:13:49.214886Z	   12 Connect	root@172.20.0.3 on production_move using SSL/TLS
2023-04-07T13:13:49.214975Z	    8 Query	SELECT @@session.transaction_read_only
2023-04-07T13:13:49.215528Z	   12 Query	/* mysql-connector-java-8.0.30 (Revision: 1de2fe873fe26189564c030a343885011412976a) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@collation_server AS collation_server, @@collation_connection AS collation_connection, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_write_timeout AS net_write_timeout, @@performance_schema AS performance_schema, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@transaction_isolation AS transaction_isolation, @@wait_timeout AS wait_timeout
2023-04-07T13:13:49.215712Z	    8 Query	INSERT INTO role (id, code, name) SELECT * FROM (SELECT '2' as id, 'DISTRIBUTION_AGENT' as code, 'DISTRIBUTION AGENT' as name) AS tmp WHERE NOT EXISTS (SELECT code FROM role WHERE code = 'DISTRIBUTION_AGENT') LIMIT 1
2023-04-07T13:13:49.216181Z	    8 Query	SELECT @@session.transaction_read_only
2023-04-07T13:13:49.216325Z	   12 Query	SET character_set_results = NULL
2023-04-07T13:13:49.216558Z	    8 Query	INSERT INTO role (id, code, name) SELECT * FROM (SELECT '3' as id, 'FACTORY' as code, 'FACTORY' as name) AS tmp WHERE NOT EXISTS (SELECT code FROM role WHERE code = 'FACTORY') LIMIT 1
2023-04-07T13:13:49.216586Z	   12 Query	SET autocommit=1
2023-04-07T13:13:49.216920Z	   12 Query	SELECT @@session.transaction_read_only
2023-04-07T13:13:49.216959Z	    8 Query	SELECT @@session.transaction_read_only
2023-04-07T13:13:49.217262Z	    8 Query	INSERT INTO role (id, code, name) SELECT * FROM (SELECT '4' as id, 'SERVICE_CENTER' as code, 'SERVICE CENTER' as name) AS tmp WHERE NOT EXISTS (SELECT code FROM role WHERE code = 'SERVICE_CENTER') LIMIT 1
2023-04-07T13:13:49.217767Z	    8 Query	SELECT @@session.transaction_read_only
2023-04-07T13:13:49.218083Z	    8 Query	INSERT INTO refreshtoken (id) SELECT * FROM (SELECT '1' as id) AS tmp WHERE NOT EXISTS (SELECT id FROM refreshtoken WHERE id = '1') LIMIT 1
2023-04-07T13:13:49.224883Z	   13 Connect	root@172.20.0.3 on production_move using SSL/TLS
2023-04-07T13:13:49.225280Z	    8 Query	SELECT @@session.transaction_read_only
2023-04-07T13:13:49.225462Z	   13 Query	/* mysql-connector-java-8.0.30 (Revision: 1de2fe873fe26189564c030a343885011412976a) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@collation_server AS collation_server, @@collation_connection AS collation_connection, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_write_timeout AS net_write_timeout, @@performance_schema AS performance_schema, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@transaction_isolation AS transaction_isolation, @@wait_timeout AS wait_timeout
2023-04-07T13:13:49.225695Z	    8 Query	Delete from user where id = '1'
2023-04-07T13:13:49.226008Z	   13 Query	SET character_set_results = NULL
2023-04-07T13:13:49.226225Z	   13 Query	SET autocommit=1
2023-04-07T13:13:49.226525Z	   13 Query	SELECT @@session.transaction_read_only
2023-04-07T13:13:49.234837Z	   14 Connect	root@172.20.0.3 on production_move using SSL/TLS
2023-04-07T13:13:49.235401Z	   14 Query	/* mysql-connector-java-8.0.30 (Revision: 1de2fe873fe26189564c030a343885011412976a) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@collation_server AS collation_server, @@collation_connection AS collation_connection, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_write_timeout AS net_write_timeout, @@performance_schema AS performance_schema, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@transaction_isolation AS transaction_isolation, @@wait_timeout AS wait_timeout
2023-04-07T13:13:49.235822Z	   14 Query	SET character_set_results = NULL
2023-04-07T13:13:49.236048Z	    8 Query	SELECT @@session.transaction_read_only
2023-04-07T13:13:49.236278Z	   14 Query	SET autocommit=1
2023-04-07T13:13:49.236489Z	    8 Query	INSERT INTO `user` (`id`, `fullname`, `password`, `username`, `refresh_token_id`, `role_id`) VALUES ('1', 'ADMIN', '$2a$10$fXPNGnniIlAtoBpGQGZBbuCScdj4Pdnj.BLd2lujHr0cYo2z7epzy', 'admin', '1', '1')
2023-04-07T13:13:49.236557Z	   14 Query	SELECT @@session.transaction_read_only
2023-04-07T13:13:49.244185Z	   15 Connect	root@172.20.0.3 on production_move using SSL/TLS
